year,other_renewables_electricity_generation_twh,solar_twh,wind_twh,hydro_twh,primary_energy_twh,gen_bioenergy_twh,gen_coal_twh,gen_gas_twh,gen_hydro_twh,gen_net_imports_twh,gen_nuclear_twh,gen_other_fossil_twh,gen_other_renewables_twh,gen_solar_twh,gen_wind_twh,share_bioenergy_pct,share_coal_pct,share_gas_pct,share_hydro_pct,share_net_imports_pct,share_nuclear_pct,share_other_fossil_pct,share_other_renewables_pct,share_solar_pct,share_wind_pct,demand_twh,demand_mwh_per_capita,capacity_mw
1965,0.0,0.0,0.0,2.196442,82.22446,,,,,,,,,,,,,,,,,,,,,,,
1966,0.0,0.0,0.0,2.196442,82.84071,,,,,,,,,,,,,,,,,,,,,,,
1967,0.0,0.0,0.0,2.6030266,91.71956,,,,,,,,,,,,,,,,,,,,,,,
1968,0.0,0.0,0.0,3.128935,104.131035,,,,,,,,,,,,,,,,,,,,,,,
1969,0.0,0.0,0.0,3.3012917,104.63179,,,,,,,,,,,,,,,,,,,,,,,
1970,0.0,0.0,0.0,2.9212234,102.95154,,,,,,,,,,,,,,,,,,,,,,,
1971,0.0,0.0,0.0,3.8139422,97.50481,,,,,,,,,,,,,,,,,,,,,,,
1972,0.0,0.0,0.0,4.012815,89.527275,,,,,,,,,,,,,,,,,,,,,,,
1973,0.0,0.0,0.0,4.233785,95.656105,,,,,,,,,,,,,,,,,,,,,,,
1974,0.0,0.0,0.0,4.2558823,103.62483,,,,,,,,,,,,,,,,,,,,,,,
1975,0.0,0.0,0.0,4.896695,108.77946,,,,,,,,,,,,,,,,,,,,,,,
1976,0.0,0.0,0.0,5.3165383,110.46571,,,,,,,,,,,,,,,,,,,,,,,
1977,0.0,0.0,0.0,6.3153224,119.551155,,,,,,,,,,,,,,,,,,,,,,,
1978,0.0,0.0,0.0,7.8400154,128.0085,,,,,,,,,,,,,,,,,,,,,,,
1979,0.0,0.0,0.0,8.476409,139.54419,,,,,,,,,,,,,,,,,,,,,,,
1980,0.0,0.0,0.0,8.887413,154.74867,,,,,,,,,,,,,,,,,,,,,,,
1981,0.0,0.0,0.0,9.28074,166.37914,,,,,,,,,,,,,,,,,,,,,,,
1982,0.0,0.0,0.0,10.443042,183.49088,,,,,,,,,,,,,,,,,,,,,,,
1983,0.0,0.0,0.0,12.095898,196.1527,,,,,,,,,,,,,,,,,,,,,,,
1984,0.0,0.0,0.0,12.537838,207.59,,,,,,,,,,,,,,,,,,,,,,,
1985,0.0,0.0,0.0,13.023972,218.16379,,,,,,,,,,,,,,,,,,,,,,,
1986,0.0,0.0,0.0,12.453869,231.23979,,,,,,,,,,,,,,,,,,,,,,,
1987,0.0,0.0,0.0,16.373877,259.38654,,,,,,,,,,,,,,,,,,,,,,,
1988,0.0,0.0,0.0,17.16495,275.5609,,,,,,,,,,,,,,,,,,,,,,,
1989,0.0,0.0,0.0,17.443373,292.24484,,,,,,,,,,,,,,,,,,,,,,,
1990,0.0,0.0,0.0,17.0854,305.49796,,,,,,,,,,,,,,,,,,,,,,,
1991,0.0,0.0,0.0,18.283058,323.70068,,,,,,,,,,,,,,,,,,,,,,,
1992,0.0,0.0,0.0,19.944752,340.02856,,,,,,,,,,,,,,,,,,,,,,,
1993,0.0,0.0,0.0,21.933483,376.3136,,,,,,,,,,,,,,,,,,,,,,,
1994,0.0,0.0,0.0,21.526897,389.3819,,,,,,,,,,,,,,,,,,,,,,,
1995,0.0,0.0,0.0,22.746653,410.67953,,,,,,,,,,,,,,,,,,,,,,,
1996,0.0,0.0,0.0,24.797253,437.4265,,,,,,,,,,,,,,,,,,,,,,,
1997,0.0,0.0,0.0,18.446575,422.88452,,,,,,,,,,,,,,,,,,,,,,,
1998,0.0,0.0,0.0,24.107826,453.84888,,,,,,,,,,,,,,,,,,,,,,,
1999,0.0,0.0,0.0,21.5048,473.72205,,,,,,,,,,,,,,,,,,,,,,,
2000,0.9267,0.0,0.0,17.558277,483.7543,0.0,0.24,21.78,17.19,0.0,0.38,26.9,0.0,0.0,0.0,0.0,0.36,32.76,25.85,0.0,0.57,40.46,0.0,0.0,0.0,66.49,0.43,5175.89
2001,0.8721,0.0,0.0,18.291897,495.15015,0.0,0.28,24.85,18.94,0.0,1.98,26.06,0.0,0.0,0.0,0.0,0.39,34.46,26.27,0.0,2.75,36.14,0.0,0.0,0.0,72.11,0.45,5313.89
2002,0.9608,0.0,0.0,20.417627,514.1093,0.0,0.23,27.01,22.35,0.0,1.8,24.38,0.0,0.0,0.0,0.0,0.3,35.65,29.5,0.0,2.38,32.18,0.0,0.0,0.0,75.77,0.46,5319.89
2003,1.0411,0.0,0.0,24.5975,554.231,1.2,0.2,39.21,26.94,0.07,1.81,12.72,0.0,0.0,0.0,1.46,0.24,47.77,32.82,0.09,2.21,15.5,0.0,0.0,0.0,82.15,0.49,5900.89
