year,primary_energy_twh
1965,82.22446
1966,82.84071
1967,91.71956
1968,104.131035
1969,104.63179
1970,102.95154
1971,97.50481
1972,89.527275
1973,95.656105
1974,103.62483
1975,108.77946
1976,110.46571
1977,119.551155
1978,128.0085
1979,139.54419
1980,154.74867
1981,166.37914
1982,183.49088
1983,196.1527
1984,207.59
1985,218.16379
1986,231.23979
1987,259.38654
1988,275.5609
1989,292.24484
1990,305.49796
1991,323.70068
1992,340.02856
1993,376.3136
1994,389.3819
1995,410.67953
1996,437.4265
1997,422.88452
1998,453.84888
1999,473.72205
2000,483.7543
2001,495.15015
2002,514.1093
2003,554.231
2004,618.90485
2005,641.3387
2006,679.6269
2007,717.0553
2008,718.6775
2009,745.36194
2010,749.46985
2011,753.3283
2012,701.7945
2013,775.3793
2014,786.30774
2015,829.31226
2016,900.4373
2017,951.9927
2018,967.48016
2019,973.6355
2020,959.6698
2021,1066.0114
2022,979.10126
2023,904.24133
2024,888.3728
